YEAR,MO,DY,T2M,T2MWET,WS10M_RANGE,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,ALLSKY_KT
2000,12,1,8.98,4.11,3.26,6.0,9.27,1.8,0.53
2000,12,2,10.72,0.95,3.12,8.11,8.89,2.26,0.72
2000,12,3,10.27,1.85,2.66,7.02,9.19,1.7,0.62
2000,12,4,10.53,2.07,4.86,6.3,9.2,2.19,0.55
2000,12,5,7.42,4.35,5.97,5.25,9.39,3.02,0.46
2000,12,6,7.8,4.27,4.27,6.41,9.37,1.49,0.56
2000,12,7,9.43,3.26,1.93,6.64,8.94,1.03,0.59
2000,12,8,7.55,4.7,3.58,6.2,9.12,3.01,0.55
2000,12,9,7.48,4.64,3.48,5.57,9.48,2.07,0.49
2000,12,10,9.75,5.33,4.77,4.98,9.41,2.28,0.44
2000,12,11,7.94,3.05,2.4,5.88,9.46,3.57,0.52
2000,12,12,9.97,2.95,6.58,5.75,9.44,3.02,0.51
2000,12,13,10.37,0.88,4.94,8.22,9.23,3.45,0.73
2000,12,14,9.86,0.27,4.05,8.45,8.96,2.16,0.74
2000,12,15,10.08,0.55,2.98,9.09,9.19,2.28,0.8
2000,12,16,8.05,4.41,4.55,5.34,9.16,3.71,0.47
2000,12,17,8.97,4.92,4.34,7.68,8.94,2.48,0.68
2000,12,18,10.17,5.76,4.72,7.42,8.63,2.65,0.66
2000,12,19,10.29,5.0,5.17,7.39,9.17,2.95,0.65
2000,12,20,10.15,5.39,3.23,7.34,8.84,2.23,0.65
2000,12,21,9.66,5.43,3.81,7.49,8.8,3.12,0.66
2000,12,22,7.56,4.99,4.41,5.37,8.95,3.45,0.47
2000,12,23,9.83,4.29,3.06,5.42,9.38,2.16,0.48
2000,12,24,8.69,4.83,3.95,5.24,9.36,1.85,0.46
2000,12,25,9.37,5.38,4.56,6.95,9.23,2.46,0.61
2000,12,26,7.9,4.98,2.62,5.75,8.87,2.0,0.51
2000,12,27,9.14,4.93,5.57,7.26,9.15,3.8,0.64
2000,12,28,8.75,5.78,5.13,4.25,9.43,4.52,0.38
2000,12,29,8.1,5.0,4.43,4.34,9.43,3.2,0.38
2000,12,30,7.8,5.42,4.64,4.47,9.43,2.77,0.39
2000,12,31,6.08,3.88,2.96,4.69,9.42,1.95,0.41
2001,1,1,6.62,4.58,4.34,5.1,9.02,2.2,0.45
2001,1,2,8.1,5.56,6.46,6.82,9.0,2.85,0.6
2001,1,3,10.6,6.91,4.06,5.51,8.87,3.63,0.48
2001,1,4,7.47,5.58,3.8,5.06,8.55,3.18,0.45
2001,1,5,7.78,5.94,4.59,6.01,8.92,5.81,0.53
2001,1,6,8.75,6.22,3.18,6.42,8.89,2.17,0.56
2001,1,7,7.9,5.06,5.77,6.57,8.82,2.46,0.58
2001,1,8,8.3,5.19,3.69,5.44,8.71,2.58,0.48
2001,1,9,7.83,5.01,4.69,5.46,8.86,2.47,0.48
2001,1,10,7.84,5.07,3.02,6.43,8.95,2.46,0.56
2001,1,11,7.51,5.32,6.68,5.92,8.94,4.25,0.52
2001,1,12,7.32,5.25,4.73,5.61,8.88,2.68,0.49
2001,1,13,7.59,4.77,2.16,6.4,8.87,1.25,0.56
2001,1,14,7.3,4.05,3.48,5.92,8.95,2.94,0.52
2001,1,15,6.98,4.8,4.48,6.73,9.03,2.35,0.59
2001,1,16,7.62,4.55,3.39,6.36,8.98,2.38,0.56
2001,1,17,6.22,4.43,3.66,5.28,9.09,3.02,0.47
